Portfolio name,Unit ID,Holding name,Allocation,Asset class,Rebate,
iShares Enhanced Strategic Conservative,AESG,Ishares Global Aggregate Bond Esg (Aud Hedged) Etf,11.10,International Fixed Interest,0,
iShares Enhanced Strategic Conservative,CASHACCT,Cash Account,2.50,Cash,0,
iShares Enhanced Strategic Conservative,EMXC,Ishares Msci Emerging Markets EX China Etf,1.50,International Equities,0,
iShares Enhanced Strategic Conservative,GLDN,Ishares Physical Gold Etf,3.00,Alternative,0,
iShares Enhanced Strategic Conservative,GLIN,iShares Core FTSE Global Infrastructure (AUD Hedged) ETF,4.50,International Property and Infrastructure,0,
iShares Enhanced Strategic Conservative,IACT,Ishares U.S. Factor Rotation Active Etf,2.00,International Equities,0,
iShares Enhanced Strategic Conservative,IAF,Ishares Core Composite Bond Etf,18.60,Australian Fixed Interest,0,
iShares Enhanced Strategic Conservative,ICOR,Ishares Core Corporate Bond Etf,5.10,Australian Fixed Interest,0,
iShares Enhanced Strategic Conservative,IEM,Ishares Msci Emerging Markets Etf,4.00,International Equities,0,
iShares Enhanced Strategic Conservative,IEU,Ishares Europe Etf,1.20,International Equities,0,
iShares Enhanced Strategic Conservative,IGB,Ishares Treasury Etf,4.50,Australian Fixed Interest,0,
iShares Enhanced Strategic Conservative,IHHY,Ishares Global High Yield Bond (Aud Hedged) Etf,1.50,International Fixed Interest,0,
iShares Enhanced Strategic Conservative,IHVV,Ishares S&P 500 Aud Hedged Etf,4.70,International Equities,0,
iShares Enhanced Strategic Conservative,IJP,Ishares Msci Japan Etf,2.30,International Equities,0,
iShares Enhanced Strategic Conservative,ILB,Ishares Government Inflation Etf,9.50,Australian Fixed Interest,0,
iShares Enhanced Strategic Conservative,IOZ,Ishares Core S&P/ASX 200 Etf,6.00,Australian Equities,0,
iShares Enhanced Strategic Conservative,ISEC,Ishares Enhanced Cash Etf,11.80,Australian Fixed Interest,0,
iShares Enhanced Strategic Conservative,IVV,Ishares S&P 500 Etf,6.20,International Equities,0,
iShares Enhanced Strategic Moderate,AESG,Ishares Global Aggregate Bond Esg (Aud Hedged) Etf,8.10,International Fixed Interest,0,
iShares Enhanced Strategic Moderate,CASHACCT,Cash Account,2.50,Cash,0,
iShares Enhanced Strategic Moderate,EMXC,Ishares Msci Emerging Markets EX China Etf,4.00,International Equities,0,
iShares Enhanced Strategic Moderate,GLDN,Ishares Physical Gold Etf,3.10,Alternative,0,
iShares Enhanced Strategic Moderate,GLIN, iShares Core FTSE Global Infrastructure (AUD Hedged) ETF,5.00,International Property and Infrastructure,0,
iShares Enhanced Strategic Moderate,IACT,Ishares U.S. Factor Rotation Active Etf,3.00,International Equities,0,
iShares Enhanced Strategic Moderate,IAF,Ishares Core Composite Bond Etf,11.10,Australian Fixed Interest,0,
iShares Enhanced Strategic Moderate,ICOR,Ishares Core Corporate Bond Etf,3.10,Australian Fixed Interest,0,
iShares Enhanced Strategic Moderate,IEM,Ishares Msci Emerging Markets Etf,2.00,International Equities,0,
iShares Enhanced Strategic Moderate,IEU,Ishares Europe Etf,2.80,International Equities,0,
iShares Enhanced Strategic Moderate,IGB,Ishares Treasury Etf,4.00,Australian Fixed Interest,0,
iShares Enhanced Strategic Moderate,IHHY,Ishares Global High Yield Bond (Aud Hedged) Etf,1.00,International Fixed Interest,0,
iShares Enhanced Strategic Moderate,IHVV,Ishares S&P 500 Aud Hedged Etf,8.60,International Equities,0,
iShares Enhanced Strategic Moderate,IJP,Ishares Msci Japan Etf,3.00,International Equities,0,
