Unit ID,Unit Name,Management fees and costs %,Cash investment fee %,Performance fees %,Gross transaction costs %,Buy spread %,Sell spread %,Rebate %,PDS URL
AESG,iShares Global Aggregate Bond ESG (AUD Hedged) ETF,0.82%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,https://www.blackrock.com/au/
CASHACCT,Cash Account,0.00%,1.40%,0.00%,0.00%,0.00%,0.00%,0.00%,
EMXC,iShares MSCI Emerging Markets ex China ETF,0.17%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,https://www.blackrock.com/au/
GLDN,iShares Physical Gold ETF,0.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,https://www.blackrock.com/au/
GLIN,iShares Core FTSE Global Infrastructure (AUD Hedged) ETF,0.77%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,https://www.blackrock.com/au/
GLPR,iShares FTSE Global Property ex Australia (AUD Hedged) ETF,0.71%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,https://www.blackrock.com/au/
IACT,iShares U.S. Factor Rotation Active ETF,0.31%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,https://www.blackrock.com/au/
IAF,iShares Core Composite Bond ETF,0.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,https://www.blackrock.com/au/
ICOR,iShares Core Corporate Bond ETF,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,https://www.blackrock.com/au/
IEM,iShares MSCI Emerging Markets ETF,0.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,https://www.blackrock.com/au/
IEU,iShares Europe ETF,0.54%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,https://www.blackrock.com/au/
IGB,iShares Treasury ETF,0.78%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,https://www.blackrock.com/au/
IHHY,iShares Global High Yield Bond (AUD Hedged) ETF,0.37%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,https://www.blackrock.com/au/
IHVV,iShares S&P 500 AUD Hedged ETF,0.46%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,https://www.blackrock.com/au/
IJP,iShares MSCI Japan ETF,0.52%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,https://www.blackrock.com/au/
ILB,iShares Government Inflation ETF,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,https://www.blackrock.com/au/
IOZ,iShares Core S&P/ASX 200 ETF,0.75%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,https://www.blackrock.com/au/
ISEC,iShares Enhanced Cash ETF,0.73%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,https://www.blackrock.com/au/
IVV,iShares S&P 500 ETF,0.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,https://www.blackrock.com/au/
IZZ,iShares China Large-Cap ETF,0.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,https://www.blackrock.com/au/
