Fund,Role in portfolio,Benchmark for the strategy ,Target excess return,"Strategy highlights: style, factor biases",Risk assessment: Tracking error (vs benchmark)
Pendal MidCap Fund,Australian Equity - Mid Cap,S&P/ASX Mid Small TR Index AUD,3-5%,Mid cap,3-8%
Ausbil Australian Active Equity Fund,Australian Equity - Large Cap,S&P/ASX 300 TR Index AUD,0.03,Core/Style Neutral,0.05
Allan Gray Australian Equity Fund,Australian Equity - Large Cap,S&P/ASX 300 TR Index AUD,,Value,
Firetrail Australian Small Companies Fund (Class A),Australian Equity - Small Cap,S&P/ASX Small Ordinaries TR Index AUD,0.07,Small cap,0.08
Vanguard Australian Shares Index Fund (W),Australian Equity - Index,S&P/ASX 300 TR Index AUD,,Index,
Plato Global Alpha Fund,International Equity - Large Cap,MSCI World NR Index AUD,4-5%,Long/short,3-5%
Arrowstreet Global Eqity Fund,International Equity - Large Cap,MSCI AC World ex Australia NR Index AUD,0.03,Quantitative,3-7%
Munro Global Growth Small & Mid Cap Fund - Class A,International Equity - SMID,MSCI AC World SMID NR Index AUD,,Global mid cap,
Magellan Global Opportunities Fund No. 2,International Equity - Large Cap,MSCI World NR Index AUD,,Global growth,
Orbis Global Equity Fund,International Equity - Large Cap,MSCI AC World NR Index AUD,,Global value,
Fidelity Asia Fund,International Equity - Regional,MSCI AC Asia ex Japan NR Index AUD,,Global emerging markets,4-7%
Vanguard International Shares Index Fund,International Equity - Index,MSCI World ex Australia NR Index AUD,,Index,
Vanguard Australian Property Securities Index Fund (W),AREIT - Index,S&P/ASX 300 A-REIT TR Index AUD,,Index,
Quay Global Real Estate Fund (Unhedged) Active ETF,GREIT,FTSE EPRA/NAREIT Developed NR Index AUD,,GREIT,
Clearbridge RARE Infrastructure Value Fund - Unhedged,International Infrastructure,FTSE Global Core Infrastructure 50/50 NR Index AUD ,,Infrastructure,
Pendal Dynamic Income Fund,Australian Fixed Income ,RBA Cash Rate,2-3%,Unconstrained Bond,
Franklin Australia Absolute Return Bond Fund - Class A,Australian Fixed Income ,Bloomberg AusBond Bank Bill Index AUD,2-3%,Unconstrained Bond,2-4%
UBS Income Solutions Fund,Australian Fixed Income ,RBA Cash Rate,0.02,Specialised Income,2.5-5%
Schroder Fixed Income - Client Class,Australian Fixed Income,Bloomberg AusBond Composite 0+ Year Index AUD,1-1.5%,Diversified Bonds,0.015
PIMCO Diversified Fixed Interest Fund - Wholesale Class,Australian/Global Fixed Income Core,50% Bloomberg AusBond Composite 0+ Year Index AUD / 50% Bloomberg Global Aggregate TR Index (AUD Hedged),0.01,Diversified Bonds,0.03
Macquarie Dynamic Bond Fund,Global Bonds,Bloomberg Global Aggregate TR Index (AUD Hedged),1-2%,Global Bonds,
Bentham Global Income Fund,Global High Yield,50% Bloomberg AusBond Bank Bill Index AUD / 50% Bloomberg AusBond Composite 0+ Year Index AUD,0.02,Specialised High Income,
Daintree High Income Trust,Global High Yield,RBA Cash Rate,3-4%,Specialised High Income,
