MyNorth Investment Manager Onboarding Questionnaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page Four: Portfolio Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All information required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Part 1: General portfolio details,,Response,,,,,,,,Part 1: General portfolio details,,Response,,,,,,,,Part 1: General portfolio details,,Response,,,Progress,0.076923077,,,,Part 1: General portfolio details,,Response,,,Progress,0.076923077,,,,Part 1: General portfolio details,,Response,,,Progress,0.076923077,,,,Part 1: General portfolio details,,Response,,,Progress,0.076923077,,,,Part 1: General portfolio details,,Response,,,Progress,0.076923077,,,,Part 1: General portfolio details,,Response,,,Progress,0.076923077,,,,Part 1: General portfolio details,,Response,,,Progress,0.076923077,,,,Part 1: General portfolio details,,Response,,,Progress,0.076923077
1,Proposed managed portfolio name,Aurora Growth Managed Portfolio,,,,,,,,1,Proposed managed portfolio name,Aurora Defensive Managed Portfolio,,,,,,,,1,Proposed managed portfolio name,<Insert Portfolio Name>,,,,,,,,1,Proposed managed portfolio name,<Insert Portfolio Name>,,,,,,,,1,Proposed managed portfolio name,<Insert Portfolio Name>,,,,,,,,1,Proposed managed portfolio name,<Insert Portfolio Name>,,,,,,,,1,Proposed managed portfolio name,<Insert Portfolio Name>,,,,,,,,1,Proposed managed portfolio name,<Insert Portfolio Name>,,,,,,,,1,Proposed managed portfolio name,<Insert Portfolio Name>,,,,,,,,1,Proposed managed portfolio name,<Insert Portfolio Name>,,,,
2,Proposed Asset Class,Diversified,,,,,,,,2,Proposed Asset Class,Diversified,,,,,,,,2,Proposed Asset Class,,,,,,,,,2,Proposed Asset Class,,,,,,,,,2,Proposed Asset Class,,,,,,,,,2,Proposed Asset Class,,,,,,,,,2,Proposed Asset Class,,,,,,,,,2,Proposed Asset Class,,,,,,,,,2,Proposed Asset Class,,,,,,,,,2,Proposed Asset Class,,,,,
3,Portfolio type,Diversified,,,,,,,,3,Portfolio type,Diversified,,,,,,,,3,Portfolio type,,,,,,,,,3,Portfolio type,,,,,,,,,3,Portfolio type,,,,,,,,,3,Portfolio type,,,,,,,,,3,Portfolio type,,,,,,,,,3,Portfolio type,,,,,,,,,3,Portfolio type,,,,,,,,,3,Portfolio type,,,,,
4,Investment style,Active & Index,,,,,,,,4,Investment style,Active & Index,,,,,,,,4,Investment style,,,,,,,,,4,Investment style,,,,,,,,,4,Investment style,,,,,,,,,4,Investment style,,,,,,,,,4,Investment style,,,,,,,,,4,Investment style,,,,,,,,,4,Investment style,,,,,,,,,4,Investment style,,,,,
5,Investment universe,Managed funds and ETFs,,,,,,,,5,Investment universe,Managed funds and ETFs,,,,,,,,5,Investment universe,,,,,,,,,5,Investment universe,,,,,,,,,5,Investment universe,,,,,,,,,5,Investment universe,,,,,,,,,5,Investment universe,,,,,,,,,5,Investment universe,,,,,,,,,5,Investment universe,,,,,,,,,5,Investment universe,,,,,
6,Standard Risk Measure (SRM) as per FSC guidance paper,6,,,,,,,,6,Standard Risk Measure (SRM) as per FSC guidance paper,3,,,,,,,,6,Standard Risk Measure (SRM) as per FSC guidance paper,,,,,,,,,6,Standard Risk Measure (SRM) as per FSC guidance paper,,,,,,,,,6,Standard Risk Measure (SRM) as per FSC guidance paper,,,,,,,,,6,Standard Risk Measure (SRM) as per FSC guidance paper,,,,,,,,,6,Standard Risk Measure (SRM) as per FSC guidance paper,,,,,,,,,6,Standard Risk Measure (SRM) as per FSC guidance paper,,,,,,,,,6,Standard Risk Measure (SRM) as per FSC guidance paper,,,,,,,,,6,Standard Risk Measure (SRM) as per FSC guidance paper,,,,,
7,"Describe the investment objective of the portfolio starting with ""Aims to deliver…""","Aims to achieve a return in excess of  CPI + 3.75% p.a. and outperform the Benchmark over a rolling 10 year period, net of indirect fees.",,,,,,,,7,"Describe the investment objective of the portfolio starting with ""Aims to deliver…""","Aims to achieve a return in excess of  CPI + 0.5% p.a. and outperform the Benchmark over a rolling 2 year period, net of indirect fees.",,,,,,,,7,"Describe the investment objective of the portfolio starting with ""Aims to deliver…""",,,,,,,,,7,"Describe the investment objective of the portfolio starting with ""Aims to deliver…""",,,,,,,,,7,"Describe the investment objective of the portfolio starting with ""Aims to deliver…""",,,,,,,,,7,"Describe the investment objective of the portfolio starting with ""Aims to deliver…""",,,,,,,,,7,"Describe the investment objective of the portfolio starting with ""Aims to deliver…""",,,,,,,,,7,"Describe the investment objective of the portfolio starting with ""Aims to deliver…""",,,,,,,,,7,"Describe the investment objective of the portfolio starting with ""Aims to deliver…""",,,,,,,,,7,"Describe the investment objective of the portfolio starting with ""Aims to deliver…""",,,,,
8,"Managed portfolio benchmark (include one for each of the below if applicable; note composite benchmarks are not accepted)
- Declared benchmark for Disclosure
- Portfolio performance",Morningstar AUS Agg Tgt Alloc NR AUD,,,,,,,,8,"Managed portfolio benchmark (include one for each of the below if applicable; note composite benchmarks are not accepted)
- Declared benchmark for Disclosure
- Portfolio performance",Morningstar AUS Con Tgt Alloc NR AUD,,,,,,,,8,"Managed portfolio benchmark (include one for each of the below if applicable; note composite benchmarks are not accepted)
- Declared benchmark for Disclosure
- Portfolio performance",,,,,,,,,8,"Managed portfolio benchmark (include one for each of the below if applicable; note composite benchmarks are not accepted)
- Declared benchmark for Disclosure
- Portfolio performance",,,,,,,,,8,"Managed portfolio benchmark (include one for each of the below if applicable; note composite benchmarks are not accepted)
- Declared benchmark for Disclosure
- Portfolio performance",,,,,,,,,8,"Managed portfolio benchmark (include one for each of the below if applicable; note composite benchmarks are not accepted)
- Declared benchmark for Disclosure
- Portfolio performance",,,,,,,,,8,"Managed portfolio benchmark (include one for each of the below if applicable; note composite benchmarks are not accepted)
- Declared benchmark for Disclosure
- Portfolio performance",,,,,,,,,8,"Managed portfolio benchmark (include one for each of the below if applicable; note composite benchmarks are not accepted)
- Declared benchmark for Disclosure
- Portfolio performance",,,,,,,,,8,"Managed portfolio benchmark (include one for each of the below if applicable; note composite benchmarks are not accepted)
- Declared benchmark for Disclosure
- Portfolio performance",,,,,,,,,8,"Managed portfolio benchmark (include one for each of the below if applicable; note composite benchmarks are not accepted)
- Declared benchmark for Disclosure
- Portfolio performance",,,,,
9,Income Target (only applicable for Income/Retirement strategies),,,,,,,,,9,Income Target (only applicable for Income/Retirement strategies),,,,,,,,,9,Income Target (only applicable for Income/Retirement strategies),,,,,,,,,9,Income Target (only applicable for Income/Retirement strategies),,,,,,,,,9,Income Target (only applicable for Income/Retirement strategies),,,,,,,,,9,Income Target (only applicable for Income/Retirement strategies),,,,,,,,,9,Income Target (only applicable for Income/Retirement strategies),,,,,,,,,9,Income Target (only applicable for Income/Retirement strategies),,,,,,,,,9,Income Target (only applicable for Income/Retirement strategies),,,,,,,,,9,Income Target (only applicable for Income/Retirement strategies),,,,,
10,"Target investors suitable for the portfolio ""Designed for investors who seek a…""","Designed for investors with a minimum 10 year timeframe, who are comfortable with high investment risk, and/or require high returns to meet their long term objectives.",,,,,,,,10,"Target investors suitable for the portfolio ""Designed for investors who seek a…""","Designed for investors with a minimum 2 year timeframe, who have a low tolerance to investment risk, and/or require low returns to meet their objectives",,,,,,,,10,"Target investors suitable for the portfolio ""Designed for investors who seek a…""",,,,,,,,,10,"Target investors suitable for the portfolio ""Designed for investors who seek a…""",,,,,,,,,10,"Target investors suitable for the portfolio ""Designed for investors who seek a…""",,,,,,,,,10,"Target investors suitable for the portfolio ""Designed for investors who seek a…""",,,,,,,,,10,"Target investors suitable for the portfolio ""Designed for investors who seek a…""",,,,,,,,,10,"Target investors suitable for the portfolio ""Designed for investors who seek a…""",,,,,,,,,10,"Target investors suitable for the portfolio ""Designed for investors who seek a…""",,,,,,,,,10,"Target investors suitable for the portfolio ""Designed for investors who seek a…""",,,,,
