MyNorth Investment Manager Onboarding Questionnaire,,,,
Page Two: Investment Manager Information,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Part 6 - Current Investment Team,,Response,,
Name & title/position ,,Number of years with the firm,Total years of investment experience,Describe their role and contribution to the strategy
,John Carnevale (Executive GM – Investment Services),6,35,Oversight of Research & Investment Team
,Aman Ramrakha (Chief Investment Officer),<1,30,Overall responsibility for portfolios
,Tim Schroeders (Senior Portfolio Manager),6,30,Overall responsibility for portfolios
,Sean Webster (Head  of Research & Senior Portfolio Manager),7,29,Provides portfolio management support
,Calvin Yap (Senior Investment Research Analyst),3,4,Provides support to portfolio managers
,Julia Tao (Senior Investment Research Analyst),6,18,Provides support to portfolio managers
,Frank Mach  (Investment Research Analyst),5,15,Provides support to portfolio managers
,"Cindy Zhao (Manager, Investment Governance)",5,15,Governance oversight for portfolios
,Ekta Badola (Investmengt Research Analyst),2,5,Provides support to portfolio managers
,,,,
Team additions in the last three years,,,,
Name & title/position ,,Date joined,Total years of investment experience,Previous employment
,Aman Ramrakha (Chief Investment Officer),1/29/2025 0:00,30,"Rainmaker, Morningstar, CBA"
,,,,
,,,,
Team departures in the last three years,,,,
Name & title/position,,Date joined,Date departed,Reason for departure
,Ian Holliday (Head of Research Services),11/1/2018 0:00,,
