Minerds Bell Consultancy Group - Analysis of North FUA - 07-11-2025,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,Product,MyNorth Investment,MyNorth Lifetime Income,MyNorth Pension,MyNorth Super,North Investment,North Personal Pension,North Personal Superannuation,Total,,
,,,,,,,,,,,
Cash / TDs,Investment ,FUA$,FUA$,FUA$,FUA$,FUA$,FUA$,FUA$,FUA$,FUA $,% of total FUA
Cash,Cash Account,1670156.05,10608.21,13669304.45,6166293.09,163099.49,1158500.08,576370.41,23414331.78,,
TD,Adelaide Bank Term Deposit,,,412000,35000,,,,447000,,
TD,AMP Term Deposit,352750,,4785233.55,1159738.48,,461926.66,65000,6824648.69,,
TD,ANZ Term Deposit,10000,,1234129.1,272483.01,,135000,,1651612.11,,
TD,NAB Term Deposit,706750,,3323204.44,1213726.89,25000,362000,,5630681.33,37968273.91,
,,,,,,,,,,,
,,,,,,,Total Managed Funds excluding Cash and Term Deposits,,,319846323.4,1
Defensive Portfolio ,,,,,,,,,,,
Portfolio,Investment Fund,FUA$,FUA$,FUA$,FUA$,FUA$,FUA$,FUA$,FUA$,,
Defensive,Ardea Real Outcome Fund,478240,,3414740.57,822256.34,,195077.31,10479.6,4920793.82,,
Defensive,Bentham Global Income Fund (W) ,1179701.14,,5285763.52,2217149.56,94304.88,258970.93,79728.41,9115618.44,,
Defensive,Franklin Australian Absolute Return Bond Fund - Class A,789241.06,,4738206.1,1879503.97,,280892.75,82443.49,7770287.37,,
Defensive,Pendal Dynamic Income Fund,182805.43,,445701.98,207986.6,,15910.09,,852404.1,,
Defensive,PIMCO Diversified Fixed Interest Fund - Wholesale Class,1488964.37,,6995036.9,2891304.53,97683.04,467592.82,105776.35,12046358.01,,
Defensive,UBS Income Solution Fund,661939.92,13933.27,2218590.24,657494.21,37426.51,212491.42,72721.21,3874596.78,38580058.52,0.12062061
,,,,,,,,,,,
Growth Portfolio,,,,,,,,,,,
Portfolio,Investment Fund,FUA$,FUA$,FUA$,FUA$,FUA$,FUA$,FUA$,FUA$,,
Growth,Allan Gray Australia Equity Fund ,1358249.72,9686.08,6212701.48,2954552.1,70527.85,103679.26,256408.92,10965805.41,,
Growth,Ausbil Australian Smaller Companies Fund,587864.74,,2055176.49,1220942.8,128779.9,69949.77,138707.88,4201421.58,,
Growth,Fidelity Australian Equities Fund,1772790.14,10480.34,8577647.11,4035335.23,195697.54,429459.23,234838.07,15256247.66,,
Growth,Pendal MidCap Fund,252523.61,,1108772.77,727175.52,,48362.93,,2136834.83,,
Growth,Vanguard Australian Shares Index Fund (W) ,302747.74,,4847395.52,2184102.76,,161070.87,46675.16,7541992.05,,
Growth,WaveStone Australian Share Fund,873700.2,,4449665.73,2835637.74,45298.94,202688.32,221395.58,8628386.51,,
Growth,Arrowstreet Global Equity Fund,2256403.58,,9744881.81,4499499.97,203940.7,566525.7,422651.88,17693903.64,,
Growth,Fidelity Asia Fund,645875,,3523442.68,1668880.99,32538.61,89275.4,109118.42,6069131.1,,
Growth,GQG Partners Global Equities ,1151535.14,,6149149.98,2894037.43,71076.76,523148.65,127747.66,10916695.62,,
Growth,Loftus Peak Global Disruption,182636.66,,423208.4,322556.41,,,,928401.47,,
Growth,Magellan Global Fund,1974846.2,10138.17,8046463.3,3901248.13,220037.83,414007.8,309171.56,14875912.99,,
Growth,T. Rowe Price Global Equity Fund,1164216.11,,6180106.76,3539124.31,,219794.08,192840.42,11296081.68,,
Growth,Vanguard International Shares Index Fund ,383805.21,,6536728.11,2987214.63,,177238.23,107538.36,10192524.54,,
Growth,ClearBridge RARE Infrastructure Value Fund - Unhedged,575106.1,,2691260.25,1447283.9,22674.82,48027.86,118739.07,4903092,,
Growth,Quay Global Real Estate-Daily Series,234544.11,,1355667.05,706786.76,29759.13,30395.97,68748.62,2425901.64,,
Growth,Vanguard Australian Property Securities Index Fund (W) ,1218219.58,6070.45,7309418.31,3076065.2,63457.85,727453.8,198081.44,12598766.63,140631099.4,0.439683339
,,,,,,,,,,,
,,,,,,,,,,,
, iShares Core FTSE Global Infrastructure (AUD Hedged) ETF,,,5125.67,262.71,,,,5388.38,,
,abrdn Emerging Markets Equity Fund,,,11461.14,17783.9,,,,29245.04,,
,abrdn Sustainable Asian Opportunities Fund - Class A,9559.1,,,25136.54,,,,34695.64,,
,abrdn Sustainable International Equities Fund,904029,,2270449.96,806201.28,59533.16,320000.36,151754.15,4511967.91,,
,Acadian Geared Global Equity Fund,,,,,,,48002.18,48002.18,,
,Allan Gray Australia Stable Fund,,,36821.87,,,,,36821.87,,
,Alphinity Australian Share (W) ,37327.15,,,,47005.8,,,84332.95,,
,Alphinity Sustainable Share Fund,,,,522.03,,,,522.03,,
,Amcor PLC Cdi 1:1 Foreign Exempt NYSE,,,,35.72,,,,35.72,,
,AMP - Cash Management,,,1155.72,162971.21,,,,164126.93,,
,AMP Australian Equity Index Fund,,,8805.36,,,,,8805.36,,
,AMP Australian Property Index Fund,,,859.44,,,,,859.44,,
,AMP Constructor Series - SouthPeak Alternative Alpha Fund,,,5928.46,28891.82,,,1246.89,36067.17,,
,AMP Emerging Markets Index Fund,,,1583.93,,,,,1583.93,,
,AMP International Equity Index Fund,,,6426.92,39149.67,,,2531.8,48108.39,,
,AMP International Equity Index Fund Hedged,,,17966.42,25634.86,,,1658.67,45259.95,,
,AMP International Fixed Interest Index Fund Hedged,,,941.81,,,,,941.81,,
,AMP International Property Index Fund Hedged,,,5371.83,,,,,5371.83,,
,AMP Limited Ordinary Fully Paid,,,2025.15,21914.4,,,,23939.55,,
,Ansell Limited Ordinary Fully Paid,,,,1461.79,,,,1461.79,,
,Antares High Growth Shares Fund,185461.71,,1907075.51,498480.32,,306464.13,60814.67,2958296.34,,
,Antipodes Global Fund,,,97377.28,,,,,97377.28,,
,Antipodes Global Fund - Class M,,,,22904.72,,,,22904.72,,
,Antipodes Global Fund - Long,,,2409.27,27550.51,,,1795.73,31755.51,,
,ANZ Group Holdings Limited Ordinary Fully Paid,,,50581.32,3484.64,,,,54065.96,,
,APA Group Fully Paid Units Stapled Securities,,,,40174.02,,,,40174.02,,
,Appen Limited Ordinary Fully Paid,,,,2844,,,,2844,,
,Ardea Diversified Bond Fund - Class C,,,4151.93,34136.31,,,579.99,38868.23,,
,Argo Investments Limited Ordinary Fully Paid,,,7068.6,,,,,7068.6,,
,Aristocrat Leisure Limited Ordinary Fully Paid,,,,1450.21,,,,1450.21,,
,Arrowstreet Global Equity Fund (Hedged),,,33717.96,13876.11,,,1300.93,48895,,
,Arrowstreet Global Equity No. 2 Fund (Hedged) - Class I,,,3792.61,49830.23,,,2818.4,56441.24,,
,Arrowstreet Global Equity No.2 Fund - Class W Units,,,13283.71,42341.79,,,2748.28,58373.78,,
,Aurizon Holdings Limited Ordinary Fully Paid,,,9350,,,,,9350,,
,Ausbil 130/30 Focus Fund,,,,9891.79,,,,9891.79,,
,Ausbil 130/30 Focus Fund - MA Class,,,11034.15,62998.04,,,,74032.19,,
,Ausbil Active Sustainable Equity Fund,,,59781.21,246.57,,,,60027.78,,
,Ausbil Australian Active Equity Fund,339032.78,,2635598.78,1100804.11,,363208.49,83438.88,4522083.04,,
,Ausbil Australian Emerging Leaders Fund,,,97762.79,73119.55,,,,170882.34,,
,Australian Ethical Australian Shares Fund,18012.3,,56222.7,36764.41,,,,110999.41,,
,Australian Foundation Investment Company Limited Ordinary Fully Paid,,,17892.16,,,,,17892.16,,
,AXA IM Sustainable Equity Fund,,,6567.91,382.48,,,,6950.39,,
,Beach Energy Limited Ordinary Fully Paid,,,25201.76,,,,,25201.76,,
,Beetaloo Energy Australia Limited Ordinary Fully Paid,,,,,50564.42,,,50564.42,,
,Bendigo And Adelaide Bank Limited Ordinary Fully Paid,,,,1021.89,,,,1021.89,,
,Bennelong Australian Equities,,,7764.15,96607.94,,,,104372.09,,
,Bennelong ex-20 Australian Equities Fund,860699.77,,4434866.46,2119822.98,51160.3,99515.62,221922.46,7787987.59,,
,Bentham Professional Global Income Fund - Class X,,,12508.89,,,,,12508.89,,
,Bentham Syndicated Loan Fund (W) ,340912.27,10088.79,1512532.41,283622.82,7373.09,132271.19,49133.13,2335933.7,,
,Betashares Australia 200 Etf Betashares Australia 200 Etf,,,17449.41,,,,,17449.41,,
,Betashares Australian Bank Senior Floating Rate Bond Etf Betashares Au,,,2550.76,,,,,2550.76,,
,Betashares Australian Composite Bond Etf Betashares Australian Composi,,,42146.3,,,,,42146.3,,
,Betashares Australian Momentum Etf Betashares Australian Momentum Etf,,,4508.99,,,,,4508.99,,
,Betashares Australian Quality Etf Betashares Australian Quality Etf,,,4177.77,,,,,4177.77,,
,Betashares Australian Sustainability Leaders Etf Betashares Australian Sustainability Leaders Etf,,,,33956.68,,,,33956.68,,
,Betashares Ftse 100 Etf Betashares Ftse 100 Etf,,,,124.28,,,,124.28,,
,Betashares Ftse Rafi Australia 200 Etf Betashares Ftse Rafi Australia ,,,9068.52,,,,,9068.52,,
,Betashares Global Quality Leaders Etf Betashares Global Quality Leader,,,5171.89,,,,,5171.89,,
,Betashares Global Shares Currency Hedged Etf Betashares Global Shares Currency Hedged Etf,,,14294.7,,,,,14294.7,,
,Betashares Gold Bullion Currency Hedged Etf Betashares Gold Bullion Currency Hedged Etf,,,4804.71,,,,,4804.71,,
,Betashares S&P 500 Equal Weight Etf Betashares S&P 500 Equal Weight Et,,,6030.02,,,,,6030.02,,
,BHP Group Limited Ordinary Fully Paid,,,38995.14,61375.7,30992.88,27521,,158884.72,,
,BlackRock Advantage Australian Equity Fund,141123.9,,715220.44,107948.69,39527.51,23188.96,69234.61,1096244.11,,
,BlackRock Advantage International Equity Fund,217220.6,,26414.19,,,,,243634.79,,
,BlackRock Australian Equity Index,,,,22966.06,,,,22966.06,,
,BlackRock Diversified ESG Growth Fund,506348.7,,4709218.2,557634.34,,1122640.71,163734.72,7059576.67,,
,BlackRock Diversified ESG Stable Fund,,,291532.5,,,52477.92,,344010.42,,
,BlackRock International Equity Index (Unhedged),,,2683.11,264057.18,,,,266740.29,,
,BlackRock Property Securities Index,,,,0.36,,,,0.36,,
,BlackRock Tactical Growth Fund,,,118706.94,,,,,118706.94,,
,"Block, Inc. Cdi 1:1 Foreign Exempt NYSE",,,,43422.6,,,,43422.6,,
,Brambles Limited Ordinary Fully Paid,,,,82.74,,,,82.74,,
,BWP Group Fully Paid Ordinary/Units Stapled Securities,,,,17361.9,,,,17361.9,,
,CC Sage Capital Equity Plus Fund - Class C,,,6719.91,80728.26,,,4997.75,92445.92,,
,CFS Geared Share Fund,,,,301889.02,,,117300.01,419189.03,,
,CFS Select Diversified Fund,65135.62,,2014104.95,56918.85,,196558.2,,2332717.62,,
,Charter Hall Direct Office Fund,,,872.97,,,,,872.97,,
,ClearBridge Equity Income Fund - Class A,,,6380.91,,,,,6380.91,,
,ClearBridge RARE Infrastructure Income Fund - Hedged,,,23766.61,,,,,23766.61,,
,ClearBridge RARE Infrastructure Income Fund - Hedged Class C Units,,,4589.84,,,,,4589.84,,
,ClearBridge RARE Infrastructure Value Fund - Hedged,,,16447.72,,,,,16447.72,,
,ClearBridge Real Income Fund - Class A,,,1007.8,,,,,1007.8,,
,Cochlear Limited Ordinary Fully Paid,,,,7120.5,,,,7120.5,,
,Coles Group Limited. Ordinary Fully Paid,,,6041.75,1379.19,,,,7420.94,,
,Commonwealth Bank Of Australia Ordinary Fully Paid,,,155717.05,7639.17,,,,163356.22,,
,Computershare Limited. Ordinary Fully Paid,,,30243.39,,,,,30243.39,,
,CSL Limited Ordinary Fully Paid,,,5642.88,2691.04,,,,8333.92,,
,Dexus Core Infrastructure Fund,,,7441.16,17679.65,,,,25120.81,,
,Dexus Core Infrastructure Fund Fund,,,,23423.06,,,,23423.06,,
,Dexus Fully Paid Units Stapled Securities,,,,40,,,,40,,
,Dexus Wholesale Australian Property Fund,324693.07,4162.4,1304407.11,483356.41,67778.15,81719.27,69396.53,2335512.94,,
,Digico Infrastructure Reit Fully Paid Ordinary/Units Stapled Securities,,,,38258.88,,,,38258.88,,
,Dimensional Global Small Company Trust,45189.37,,78125.5,134935.73,,,8900.64,267151.24,,
,Dimensional Global Sustainability Trust Unhedged,,,,439.37,,,,439.37,,
,DNR Capital Australian Equities High Conviction Fund,,,53413.94,60103.1,,,,113517.04,,
,DNR Capital Australian Equities High Conviction Fund - W-Class,,,225524.63,192763.32,,,,418287.95,,
,Dyno Nobel Limited. Ordinary Fully Paid,,,,2841.6,,,,2841.6,,
,Endeavour Group Limited Ordinary Fully Paid,,,5715.98,,,,,5715.98,,
,Epoch Global Equity Shareholder Yield (Hedged) Fund,,,33169.27,,,,,33169.27,,
,Epoch Global Equity Shareholder Yield (Unhedged) Fund,678708.18,8871.2,1841290.62,461647.73,138685.15,90193.23,137319.19,3356715.3,,
,Epoch Global Equity Shareholder Yield Fund - Class B,,,11109.29,,,,,11109.29,,
,Evolution Mining Limited Ordinary Fully Paid,,,,1731.96,,,,1731.96,,
,Fidelity Global Emerging Markets Fund,24386.97,,170443.96,166072.4,,,,360903.33,,
,Fidelity Global Equities Fund,731208.39,12655.53,1997189.08,498896.57,179243.29,130912.31,57966.51,3608071.68,,
,Fidelity India Fund,,,,15214.6,,,,15214.6,,
,Firetrail Australian Small Companies Fund - Class M,,,,7052.1,,,,7052.1,,
,First Sentier Concentrated Australian Share Fund,,,9325.63,37175.73,,,2280.06,48781.42,,
,First Sentier Geared Australian Share Fund,,,,39850.71,,,,39850.71,,
,First Sentier Wholesale Imputation Fund,11716.04,,68064.12,707.41,,,,80487.57,,
,First Sentier Wholesale Property Securities Fund,,,42226.89,,,,,42226.89,,
,Fortescue Ltd Ordinary Fully Paid,,,,1282.81,,,,1282.81,,
,Franklin Global Growth Fund (Class A) - Hedged,,,10967.26,,,,,10967.26,,
,Global X Physical Gold Structured Global X Physical Gold Structured,49164.62,,118118.42,9081.72,,,,176364.76,,
,Goodman Group Fully Paid Ordinary/Units Stapled Securities,,,,1939.01,,,,1939.01,,
,GPT Group Fully Paid Ordinary/Units Stapled Securities,,,,48.62,,,,48.62,,
,GQG Partners Emerging Markets Fund,,,9971.82,,,,,9971.82,,
,GQG Partners Global Equity Fund - Z Class,,,4994.76,24095.44,,,1494.13,30584.33,,
,IFP Global Franchise Fund,16953.39,,79264.68,32092.51,,,,128310.58,,
,Impax Sustainable Leaders Fund,,,,298.88,,,,298.88,,
,Invesco Wholesale Global Targeted Returns Fund - Class A,,,10444.02,,,,,10444.02,,
,Invesco Wholesale Global Targeted Returns Fund - Class P,,,,8952.85,,,,8952.85,,
,Investors Mutual All Industrials Share Fund,,,285034.28,4294.63,,26704.11,,316033.02,,
,Investors Mutual Australian Share Fund (W),274223.33,,935155.31,292529.06,,78948.92,,1580856.62,,
,Investors Mutual Concentrated Australian Share Fund,59111.52,,11494.2,13887.88,,,,84493.6,,
,Investors Mutual Equity Income Fund,,,39496.84,3905.27,,,2833.83,46235.94,,
,Investors Mutual Future Leaders Fund,,,56199.21,76914.48,64668.69,15768.77,,213551.15,,
,Ironbark Brown Advisory Global Share Fund,,,71061.79,156733.37,,,,227795.16,,
,Ironbark DWS Global (ex-Australia) Property Securities Fund,18506.4,,,,,,,18506.4,,
,Ironbark Paladin Property Securities Fund,182695.88,,1162251.32,294199.49,2148.69,34405.9,31452.59,1707153.87,,
,Ironbark Robeco Glbl Developed Enhanced Index Equ - Class A (Unhdgd),,,60064.22,91354.26,,,,151418.48,,
,Ironbark Robeco Glbl Developed Enhanced Index Equ - Class H (Hdgd),,,22504.5,,,,,22504.5,,
,iShares Australian Bond Index Fund,,,,,,10569.73,,10569.73,,
,iShares Australian Listed Property Index Fund,,,45003.11,72553.11,,57679.33,6145.1,181380.65,,
,Ishares China Large-Cap Etf Ishares China Large-Cap Etf,,,,181.88,,,,181.88,,
,Ishares Core Cash Etf Ishares Core Cash Etf,,,,1915.28,,,,1915.28,,
,Ishares Core Composite Bond Etf Ishares Core Composite Bond Etf,,,,498.04,,,,498.04,,
